nome_canal,perfil_canal,pais,inscritos,avg_views,avg_likes,avg_comments
Vlad và Nikita,Vlad và Nikita,,28800000,3300000.0,24600.0,0.0
MrBeast Gaming,MrBeast Gaming,United States,28800000,8800000.0,419900.0,16500.0
Ultra Music,UltraRecords,United States,28800000,22800.0,824.0,41.0
jacksepticeye,jacksepticeye,United States,28800000,2300000.0,125600.0,6200.0
Maluma,Maluma,Colombia,28800000,45600.0,2600.0,202.0
Techno Gamerz,Techno Gamerz,India,28600000,4000000.0,319500.0,15400.0
Peppa Pig - Official Channel,theofficialpeppa,,28500000,886300.0,4200.0,0.0
Wow Kidz,Wow Kidz,,28300000,57700.0,643.0,0.0
قناة طيور الجنة | toyoraljanahtv,toyoraljanahtv,,28300000,252300.0,0.0,0.0
DONA 도나,DONA 도나,United States,28200000,0.0,0.0,0.0
Talking Tom,TalkingTomCat,United States,28100000,769900.0,839.0,0.0
Little Angel: Nursery Rhymes & Kids Songs,Little Angel: Nursery Rhymes & Kids Songs,,28000000,1300000.0,7400.0,0.0
KAROL G,Karolgmusic,Colombia,28000000,51800000.0,1700000.0,96200.0
The Late Late Show with James Corden,TheLateLateShow,United States,28000000,86700.0,2300.0,130.0
GMANetwork,GMANETWORK,Philippines,27900000,3200.0,78.0,2.0
MR. INDIAN HACKER,MR. INDIAN HACKER,India,27400000,5600000.0,451900.0,18500.0
TheDonato,TheDonato,Mexico,27300000,380600.0,34200.0,678.0
Zee News,zeenews,India,27200000,10800.0,202.0,14.0
infobells - Tamil,infobellstamil,,27200000,375200.0,1800.0,0.0
Genevieve's Playhouse - Learning Videos for Kids,Genevieve's Playhouse - Learning Videos for Kids,,27100000,1300000.0,1200.0,0.0
Diana and Roma ESP,Diana and Roma ESP,,26700000,728900.0,3900.0,0.0
ToypuddingTV,toypudding,India,26600000,5300.0,32.0,1.0
व्लाद और निकिता,व्लाद और निकिता,,26600000,460000.0,3900.0,0.0
Bounce Patrol - Kids Songs,Bounce Patrol - Kids Songs,,26600000,1000000.0,5900.0,0.0
Aditya Music,adityamusic,India,26500000,16800.0,359.0,17.0
infobells - Telugu,infobellstelugu,,26400000,305900.0,1400.0,0.0
enchufetv,enchufetv,Ecuador,26400000,178200.0,14400.0,71.0
DanTDM,TheDiamondMinecart,United States,26300000,1600000.0,48400.0,5100.0
WORLDSTARHIPHOP,WorldStarHipHopTV,United States,26100000,34600.0,1100.0,86.0
toycantando,toycantando,,25900000,99700.0,481.0,0.0
VanossGaming,VanossGaming,United States,25800000,1000000.0,45600.0,647.0
