nome_canal,perfil_canal,inscritos,pais,avg_views,avg_likes,avg_comments
IDEAS EN 5 MINUTOS,IDEAS EN 5 MINUTOS,16600000,Mexico,16600.0,169.0,5.0
Katie Angel,Katie Angel,16600000,Mexico,237000.0,19700.0,129.0
Prajapati News,Prajapati News,16500000,India,22900.0,1200.0,56.0
alanalan9635,Stokes Twins,16500000,United States,7000000.0,211500.0,10700.0
Sandra Cires Art,Sandra Cires Art,16399999,Colombia,484500.0,30700.0,1600.0
ppextras,ExtraPolinesios,16399999,Mexico,51900.0,3400.0,679.0
marquesbrownlee,Marques Brownlee,16399999,United States,2600000.0,100000.0,5300.0
MatthewPatrick13,The Game Theorists,16399999,United States,1500000.0,109400.0,16700.0
El Reino a Jugar,El Reino a Jugar,16399999,,73600.0,316.0,0.0
lescopaque,Les' Copaque Production,16399999,Indonesia,197500.0,4900.0,55.0
TRANSTVofficial,TRANS TV Official,16300000,Indonesia,700.0,17.0,2.0
vice,VICE,16300000,United States,254500.0,5900.0,929.0
Dangal TV Channel,Dangal TV Channel,16300000,India,108700.0,1300.0,7.0
AMARINTV : อมรินทร์ทีวี,AMARINTV : อมรินทร์ทีวี,16200000,Thailand,10400.0,145.0,11.0
News24page,News24,16200000,India,3000.0,51.0,5.0
Kaykai Salaider,Kaykai Salaider,16200000,Thailand,3300000.0,272400.0,13800.0
And TV,And TV,16200000,India,2000.0,15.0,1.0
failarmy,FailArmy,16200000,United States,1500000.0,19800.0,1000.0
LIV Crime,LIV Crime,16200000,India,87500.0,967.0,30.0
Aayu and Pihu Show,Aayu and Pihu Show,16200000,India,2900000.0,70900.0,5900.0
Ivana Alawi,Ivana Alawi,16200000,Philippines,2700000.0,137400.0,12000.0
boyceavenue,Boyce Avenue,16200000,Brazil,279800.0,8000.0,373.0
KSIOlajidebtHD,JJ Olatunji,16200000,United States,2300000.0,164800.0,4800.0
Zappy Toons - Hindi Nursery Rhymes and Stories,Zappy Toons - Hindi Nursery Rhymes and Stories,16200000,,51800.0,258.0,0.0
Antrax,Antrax,16200000,Mexico,545300.0,31000.0,1200.0
Jason Vlogs,Jason Vlogs,16200000,,310400.0,1300.0,0.0
Camila Cabello,Camila Cabello,16000000,United States,276600.0,18800.0,951.0
popchartbusters,Pop Chartbusters,16000000,India,6800.0,114.0,10.0
MegatoadStonie,Matt Stonie,16000000,United States,2400000.0,125900.0,1800.0
PitbullMusic,Pitbull,16000000,United States,15000.0,817.0,22.0
DopeLyrics,DopeLyrics,16000000,United States,10600.0,256.0,34.0
JenniferLopez,Jennifer Lopez,16000000,,0.0,0.0,0.0
Kids Play,Kids Play,16000000,,111600.0,530.0,0.0
Like Nastya VNM,Like Nastya VNM,15900000,,528300.0,0.0,0.0
Wow Kidz Action,Wow Kidz Action,15900000,,41500.0,407.0,0.0
Enes Batur,Enes Batur,15800000,Turkey,1600000.0,86400.0,6700.0
AdMe,AdMe,15800000,Russia,39300.0,1100.0,57.0
OGatoGalactico,Gato Galactico | GALÁXIA,15800000,Brazil,171800.0,8200.0,123.0
Busy Fun Ltd,Busy Fun Ltd,15800000,India,1800000.0,10000.0,327.0
movieclipsTRAILERS,Rotten Tomatoes Trailers,15800000,United States,40900.0,760.0,86.0
RCTI - LAYAR DRAMA INDONESIA,RCTI - LAYAR DRAMA INDONESIA,15800000,Indonesia,16000.0,260.0,14.0
With Kids[위드키즈],With Kids[위드키즈],15700000,United States,145500.0,0.0,0.0
That Little Puff,That Little Puff,15700000,United States,4200000.0,201500.0,340.0
Dyland PROS,Dyland PROS,15600000,Indonesia,64400.0,4000.0,77.0
portalfitdance,FitDance,15600000,,47500.0,1600.0,19.0
SriBalajiMovies,SriBalajiMovies,15600000,India,17300.0,123.0,2.0
Zach Choi ASMR,Zach Choi ASMR,15600000,United States,2100000.0,207000.0,830.0
SAM SMITH,SAM SMITH,15600000,United States,108300.0,6900.0,252.0
RomanAtwoodVlogs,Roman Atwood Vlogs,15600000,United States,619300.0,27600.0,1300.0
Like Nastya IDN,Like Nastya IDN,15600000,,172700.0,0.0,0.0
Camilo,Camilo,15500000,Colombia,934100.0,38100.0,242.0
Vlad and Niki ESP,Vlad and Niki ESP,15500000,,1100000.0,6200.0,0.0
T3DDYgames,T3ddy,15400000,Brazil,568300.0,68800.0,2000.0
laharimusic,Lahari Music | T-Series,15400000,India,30400.0,951.0,12.0
bbtvch7,Ch7HD,15400000,Thailand,7700.0,202.0,3.0
LOKESH GAMER,LOKESH GAMER,15400000,India,184400.0,21800.0,1000.0
Kerajinan 5-Menit,Kerajinan 5-Menit,15400000,Indonesia,22800.0,203.0,6.0
elcanaldePlimPlim,Plim Plim - Kids Songs & Episodes - Spanish,15400000,,461200.0,2100.0,0.0
GMMTVSPOTLIKE,GMMTV OFFICIAL​​,15400000,Thailand,10600.0,447.0,9.0
popskids,POPS Kids,15400000,Indonesia,2800.0,20.0,0.0
YOLO,YOLO,15300000,Mexico,803300.0,52000.0,334.0
LEGO,LEGO,15200000,United States,44900.0,613.0,0.0
hejproducao,Henrique e Juliano,15200000,Brazil,41900.0,2600.0,34.0
5-Minute Crafts FAMILY,5-Minute Crafts FAMILY,15200000,India,13000.0,128.0,5.0
Oyuncak Avı,Oyuncak Avı,15200000,,39100.0,0.0,2.0
newvolgavideo,Volga Video,15200000,India,3200.0,27.0,1.0
